@status,@severity,cwe->@id,results->result->description->#text,results->result->tool->@category,results->result->tool->@name,rule->@code,rule->@name
false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL
false-positive,info,,"Import ""from google.protobuf import reflection as _reflection"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position
false-positive,info,,"Import ""from google.protobuf import descriptor as _descriptor"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position
false-positive,info,,"Import ""from google.protobuf import message as _message"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position
false-positive,info,,"Import ""from google.protobuf import symbol_database as _symbol_database"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position
escalated,info,,Consider using ternary (lambda x: x if sys.version_info[0] &lt; 3 else lambda x: x.encode('latin1')),,Pylint,PYLINT-R1706,Consider using ternary
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
false-positive,info,,,,,JH--W004,Function already defined
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
false-positive,info,,,,,JH--W004,Function already defined
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W117,Not defined
escalated,info,,,,,JH--W117,Not defined
false-positive,info,398.0,,,,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default
escalated,info,,,,,JH--W117,Not defined
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W117,Not defined
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W117,Not defined
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W117,Not defined
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression
