,@status,@severity,cwe->@id,results->result->description->#text,results->result->tool->@category,results->result->tool->@name,rule->@code,rule->@name,escalated_predicted,escalated_values_predicted,escalated_binary_predicted
40,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
41,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
42,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
43,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
44,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
45,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
46,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
47,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
48,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
49,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
50,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
51,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
52,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
53,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
54,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
55,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
56,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
57,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
58,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
59,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
60,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
61,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
62,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
63,escalated,info,,Bad escaping of EOL. Use option multistr if needed.,,JSHint,JH--W043,Bad escaping of EOL,escalated,0.62473357,1
64,false-positive,info,,"Import ""from google.protobuf import reflection as _reflection"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5498446,1
65,false-positive,info,,"Import ""from google.protobuf import descriptor as _descriptor"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5775834,1
66,false-positive,info,,"Import ""from google.protobuf import message as _message"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5498446,1
67,false-positive,info,,"Import ""from google.protobuf import symbol_database as _symbol_database"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5498446,1
68,escalated,info,,Consider using ternary (lambda x: x if sys.version_info[0] &lt; 3 else lambda x: x.encode('latin1')),,Pylint,PYLINT-R1706,Consider using ternary,escalated,0.59581035,1
69,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.6854048,1
70,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
71,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
72,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
73,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
74,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.62473357,1
75,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
76,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
77,false-positive,info,,,,,JH--W004,Function already defined,escalated,0.68535924,1
78,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
79,false-positive,info,,,,,JH--W004,Function already defined,escalated,0.68535924,1
80,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
81,escalated,info,,,,,JH--W117,Not defined,escalated,0.6198205,1
82,escalated,info,,,,,JH--W117,Not defined,escalated,0.6198205,1
83,false-positive,info,398.0,,,,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.6474311,1
84,escalated,info,,,,,JH--W117,Not defined,escalated,0.6198205,1
85,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
86,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
87,escalated,info,,,,,JH--W117,Not defined,escalated,0.6198205,1
88,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.6854048,1
89,escalated,info,,,,,JH--W117,Not defined,escalated,0.6198205,1
90,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
91,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
92,escalated,info,,,,,JH--W117,Not defined,escalated,0.6198205,1
93,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.6854048,1
94,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
95,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
96,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
97,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
98,false-positive,info,,'a' is already defined.,,JSHint,JH--W004,Function already defined,escalated,0.686685,1
99,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
100,escalated,info,,,,,JH--W040,Possible strict violation,escalated,0.62328947,1
101,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
102,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.6854048,1
103,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.6854048,1
104,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.62473357,1
105,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.6854048,1
106,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
107,false-positive,info,,,,,JH--W004,Function already defined,escalated,0.68535924,1
108,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.68876666,1
109,escalated,info,,"If a strict mode function is executed using function invocation, its 'this' value will be undefined.",,JSHint,JH--W040,Possible strict violation,escalated,0.62473357,1
110,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.6854048,1
111,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.6854048,1
112,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.6854048,1
113,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
114,escalated,info,,,,,JH--W058,Missing '()' invoking constructor,escalated,0.62328947,1
